0,Date,Source,Screenname,Sentiment,Content,2020-02-24 14:29:57+0530,Link,Gender,City,State,Country,Retweet Count,Favorite Count,Followers Count,Location,Comments,Likes,Views,Shares,Dislikes,Verified Account,Type,Senti,Status,Models,Business,SedaanCars,HatchBack,General,MyNote,note2,Note3
1,24-02-2020,Twitter.com,NasirAl30056980,neutral,"With the unveiling of the New Volkswagen Taigun,&#8203; T-Roc and Tiguan Allspace,&#8203; we've brought the future of SUVs to India,&#8203; SUVWs. Thank you for joining us at #AutoExpo2020. Stay tuned,&#8203; this is just the beginning of the new era.

#VWxAutoExpo #TRoc #TiguanAllspace #Taigun #Volkswagen https://t.co/vzGf8uhJZj",2020-02-24 14:29:46+0530,https://twitter.com/NasirAl30056980/status/1231866340237094912,male,,,,0,0,0,,,0,0,0,0,,,positive,,OldModel,,,,,,,
2,24-02-2020,Twitter.com,NasirAl30056980,negative,@volkswagenindia ???? tdi???? ????? ????? ?? ???? ???? ??? ???50 ?? 60 ???? ???? ??? ???? ????? ?? ???? ?? ????? ?????? ??? 70 ?? 90 ???? ?? ???? ??? ?????? ?? ?? ?? ???? ??? ?? ?????? ?? ????? ?????? ??? ??? ?? ?? ?????,2020-02-21 19:36:40+0530,https://twitter.com/NasirAl30056980/status/1231866295135723520,male,,,,0,0,0,,,0,0,0,0,,,positive,,,,,,,,,
3,21-02-2020,Twitter.com,vivek_vikram,negative,@amitspeakshere @VarrocGlobal @ACMAIndia @VinMehta @siamindia @Mahindra_Auto @hsikka1 @ETBIndia @volkswagenindia @nikunjsanghi @ashishkale9 @TataAutoComp Terrible news - hope they can get it up and running soon,2020-02-21 15:47:04+0530,https://twitter.com/vivek_vikram/status/1230856364307570689,male,,,,0,0,502,"üt: 28.467273,77.074502",,0,0,0,0,,,positive,,,,,,,,,
4,21-02-2020,Twitter.com,volkswagenindia,neutral,@Srikant12458167 We are unable to get in touch with you without your contact number. Kindly share the same so that we can be of assistance.,2020-02-21 15:41:16+0530,https://twitter.com/volkswagenindia/status/1230798586960465921,male,,,india,0,0,132095,india,,0,0,0,0,TRUE,petrol,neutral,,,,,,,,,
5,21-02-2020,Twitter.com,volkswagenindia,neutral,"@tkg1990 Dear Tanuj,&#8203; We tried contacting you on the numbers provided. However,&#8203; we were unable to reach you. Kindly share your alternate number with us so that we can get in touch with you.",2020-02-21 15:33:33+0530,https://twitter.com/volkswagenindia/status/1230797123836211200,male,,,india,0,0,132095,india,,0,0,0,0,TRUE,,positive,,,,,,,,,
6,21-02-2020,Twitter.com,D_Sabya,positive,"Welcome this cute little van from @volkswagen #Caddy

https://t.co/eu1E5Kzuld",2020-02-18 18:30:49+0530,https://twitter.com/D_Sabya/status/1230795184947875845,male,delhi,delhi,india,0,0,45,new delhi,,0,0,0,0,,,positive,,,,,,,,,
7,18-02-2020,Twitter.com,tkg1990,negative,"@volkswagenindia @volkswagen Hi @VWGroup,&#8203;

How are you suppose to increase your brand presence in India? because @volkswagenindia sucks when it comes to inferior parts and service.",2020-02-18 18:22:24+0530,https://twitter.com/tkg1990/status/1229752630433472513,male,,,,0,0,71,delhi,,0,0,0,0,,,,,,,,,Advt,,,
8,18-02-2020,Twitter.com,GokulNivashTN1,neutral,"Please include a DSG variant in Polo GT bs6 edition @volkswagenindia ...
Waiting eagerly !!!",2020-02-18 18:04:23+0530,https://twitter.com/GokulNivashTN1/status/1229750512234332165,male,,,,0,0,4,,,0,0,0,0,,petrol,,,,,,,Replied,,,
9,18-02-2020,Facebook.com,FB User,positive,Wow Really beautiful car,2020-02-18 17:25:47+0530,https://www.facebook.com/126105220733362/posts/3076417675702087?comment_id=3085480264795828,,,,,0,0,,,0,0,0,0,0,,,,,OldModel,,,,,,,
10,18-02-2020,Twitter.com,KamilPegad,neutral,"Earlier this month,&#8203; #Volkswagen Group unveiled the 2021 #VWTaigun in near-production concept form in India. Regular #IAB readers would be aware that it looks very similar to the #VWTCross. How similar,&#8203; exactly? Let’s find out.

https://t.co/DQGkMaNyeI",2020-02-18 17:25:29+0530,https://twitter.com/KamilPegad/status/1229736262837231616,male,navi mumbai,maharashtra,india,0,0,286,mumbai,,0,0,0,0,,diesel,,,,,,,Advt,,,
